team,color,alt_color,tertiary,fourth,fifth,sixth,abbr,conf,sub,group,espn_id,pff_id,team_id,p1,p2,
Stony Brook,#990000,#0C2340,#A2AAAD,#000000,#FFFFFF,,STON,CAA,FCS,FCS,2619,NYST,2108,D:/NCAA_Images/FCS/_primary/Stony_Brook.p1_500.png,D:/NCAA_Images/FCS/_primary/Stony_Brook.p2_500.png,
Tarleton State,#4F2D7F,#FFFFFF,#6D6E71,#000000,,,TAR,FCSI,FCS,FCS,2627,TXTA,2109,D:/NCAA_Images/FCS/_primary/Tarleton_State.p1_500.png,D:/NCAA_Images/FCS/_primary/Tarleton_State.p2_500.png,
Tennessee State,#00539F,#F0F0F0,,,,,TNST,OVC,FCS,FCS,2634,TNAI,2110,D:/NCAA_Images/FCS/_primary/Tennessee_State.p1_500.png,D:/NCAA_Images/FCS/_primary/Tennessee_State.p2_500.png,
Tennessee Tech,#4F2984,#FFDD00,,,,,TNTC,OVC,FCS,FCS,2635,TNTC,2111,D:/NCAA_Images/FCS/_primary/Tennessee_Tech.p1_500.png,D:/NCAA_Images/FCS/_primary/Tennessee_Tech.p2_500.png,
Texas Southern,#7C183E,#9DA6AB,,,,,TXSO,SWAC,FCS,FCS,2640,TXSO,2112,D:/NCAA_Images/FCS/_primary/Texas_Southern.p1_500.png,D:/NCAA_Images/FCS/_primary/Texas_Southern.p2_500.png,
The Citadel,#3975B7,#1F3A60,,,,,CIT,SC,FCS,FCS,2643,SCCI,2113,D:/NCAA_Images/FCS/_primary/The_Citadel.p1_500.png,D:/NCAA_Images/FCS/_primary/The_Citadel.p2_500.png,
Towson,#FFBB00,#000000,#FFFFFF,#A7A8A9,#CC9900,#3C3C3C,TOWS,CAA,FCS,FCS,119,MDTO,2114,D:/NCAA_Images/FCS/_primary/Towson.p1_500.png,D:/NCAA_Images/FCS/_primary/Towson.p2_500.png,
UC Davis,#022851,#FFBF00,,,,,UCD,SKY,FCS,FCS,302,CADA,2115,D:/NCAA_Images/FCS/_primary/UC_Davis.p1_500.png,D:/NCAA_Images/FCS/_primary/UC_Davis.p2_500.png,
UT Martin,#0C2340,#FF8200,,,,,UTM,OVC,FCS,FCS,2630,TNMR,2116,D:/NCAA_Images/FCS/_primary/UT_Martin.p1_500.png,D:/NCAA_Images/FCS/_primary/UT_Martin.p2_500.png,
Valparaiso,#693F23,#FFCD00,,,,,VALP,PIO,FCS,FCS,2674,INVA,2117,D:/NCAA_Images/FCS/_primary/Valparaiso.p1_500.png,D:/NCAA_Images/FCS/_primary/Valparaiso.p2_500.png,
Villanova,#002664,#3DB7E4,#FFFFFF,#8B634B,,,NOVA,CAA,FCS,FCS,222,PAVI,2118,D:/NCAA_Images/FCS/_primary/Villanova.p1_500.png,D:/NCAA_Images/FCS/_primary/Villanova.p2_500.png,
VMI,#AE122A,#FFD619,,,,,VMI,SC,FCS,FCS,2678,VAMI,2119,D:/NCAA_Images/FCS/_primary/VMI.p1_500.png,D:/NCAA_Images/FCS/_primary/VMI.p2_500.png,
Wagner,#004331,#AA8E3C,,,,,WAG,NEC,FCS,FCS,2681,NYWA,2120,D:/NCAA_Images/FCS/_primary/Wagner.p1_500.png,D:/NCAA_Images/FCS/_primary/Wagner.p2_500.png,
Weber State,#4B2682,#A1A1A4,,,,,WEB,SKY,FCS,FCS,2692,UTWB,2121,D:/NCAA_Images/FCS/_primary/Weber_State.p1_500.png,D:/NCAA_Images/FCS/_primary/Weber_State.p2_500.png,
Western Carolina,#592C88,#C1A875,,,,,WCU,SC,FCS,FCS,2717,NCWE,2122,D:/NCAA_Images/FCS/_primary/Western_Carolina.p1_500.png,D:/NCAA_Images/FCS/_primary/Western_Carolina.p2_500.png,
Western Illinois,#663399,#FFCC00,,,,,WIU,MVC,FCS,FCS,2710,ILWE,2123,D:/NCAA_Images/FCS/_primary/Western_Illinois.p1_500.png,D:/NCAA_Images/FCS/_primary/Western_Illinois.p2_500.png,
William & Mary,#115740,#B9975B,#F0B323,#D0D3D4,,,WM,CAA,FCS,FCS,2729,VAWM,2124,D:/NCAA_Images/FCS/_primary/William_&_Mary.p1_500.png,D:/NCAA_Images/FCS/_primary/William_&_Mary.p2_500.png,
